Unit,,,,,,Sec,,,,V,C,MHz,dBm,mA,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,fs,,,Sec,,,
HighL,,,,,,,,,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,,
PID-35,1,1,15,-45,1,9.689,12,,,3.29999995231628,0,2605.14892578125,-6.15943759918213,9.44491100311279,-75.7980575561523,-102.138320922852,-123.26392364502,-142.048889160156,-152.403701782227,-155.836898803711,55.6557846069336,1,2012_12_14 12:55:52,0.249, Sim-StriHandler-NA, PASS, Bin1
PID-36,1,1,0,-44,1,9.682,12,,,3.29999995231628,0,2604.24389648438,-6.14526742935181,9.41651439666748,-76.283332824707,-103.648513793945,-124.90641784668,-142.543640136719,-151.578903198242,-154.720153808594,45.3901062011719,1,2012_12_14 12:56:02,0.364, Sim-StriHandler-NA, PASS, Bin1
PID-37,1,1,18,-44,1,9.603,12,,,3.29999995231628,0,2605.88110351563,-6.19465059280396,9.37904930114746,-76.6324157714844,-100.138946533203,-120.85368347168,-138.833267211914,-149.531127929688,-153.186935424805,71.4518508911133,1,2012_12_14 12:56:12,0.35, Sim-StriHandler-NA, PASS, Bin1
PID-38,1,1,17,-43,1,9.673,12,,,3.29999995231628,0,2606.36962890625,-6.08261054992676,9.44323635101318,-76.526008605957,-105.312454223633,-126.08470916748,-145.621719360352,-153.788024902344,-156.241516113281,39.9257965087891,1,2012_12_14 12:56:22,0.256, Sim-StriHandler-NA, PASS, Bin1
PID-39,1,1,11,-43,1,9.647,12,,,3.29999995231628,0,2600.1708984375,-6.80302900314331,9.49031066894531,-71.0040130615234,-94.914794921875,-115.823623657227,-134.221252441406,-145.580184936523,-153.322250366211,130.477233886719,1,2012_12_14 12:56:32,0.278, Sim-StriHandler-NA, PASS, Bin1
PID-40,1,1,5,-43,1,9.656,12,,,3.29999995231628,0,2605.36450195313,-6.28812641143799,9.47433280944824,-75.2977066040039,-100.353302001953,-120.939895629883,-138.928329467773,-149.854187011719,-156.42219543457,72.2935943603516,1,2012_12_14 12:56:42,0.273, Sim-StriHandler-NA, PASS, Bin1
PID-41,1,1,-1,-43,1,9.646,12,,,3.29999995231628,0,2602.65454101563,-6.09926504135132,9.47940635681152,-72.3647689819336,-98.1315078735352,-118.320785522461,-136.411651611328,-146.994415283203,-154.686767578125,96.5511245727539,1,2012_12_14 12:56:52,0.277, Sim-StriHandler-NA, PASS, Bin1
PID-42,1,1,-34,-42,1,9.598,12,,,3.29999995231628,0,2597.83056640625,-5.83179372787476,9.39470481872559,-77.4899826049805,-98.5115432739258,-119.036834716797,-137.341644287109,-147.563140869141,-155.267227172852,87.8384246826172,1,2012_12_14 12:57:03,0.455, Sim-StriHandler-NA, PASS, Bin1
PID-43,1,1,-16,-42,1,9.6,12,,,3.29999995231628,0,2596.71240234375,-5.99274438858032,9.38579845428467,-76.1363754272461,-104.346343994141,-127.712615966797,-146.101791381836,-153.882583618164,-155.567276000977,36.396541595459,1,2012_12_14 12:57:13,0.332, Sim-StriHandler-NA, PASS, Bin1
PID-44,1,1,2,-42,1,9.606,12,,,3.29999995231628,0,2596.74975585938,-5.79728406906128,9.56394577026367,-75.1346817016602,-98.6465911865234,-119.079574584961,-136.996566772461,-147.602142333984,-153.995483398438,88.5782089233398,1,2012_12_14 12:57:23,0.338, Sim-StriHandler-NA, PASS, Bin1
PID-45,1,1,33,-40,1,9.598,12,,,3.29999995231628,0,2605.06030273438,-6.40228933334351,9.31470012664795,-77.9174499511719,-101.626029968262,-122.12525177002,-140.011001586914,-150.747543334961,-154.584045410156,62.7446365356445,1,2012_12_14 12:57:33,0.455, Sim-StriHandler-NA, PASS, Bin1
PID-46,1,1,15,-40,1,9.598,12,,,3.29999995231628,0,2606.46655273438,-6.1626505279541,9.43622016906738,-73.1129608154297,-97.5471115112305,-117.941787719727,-136.089981079102,-147.515991210938,-154.395034790039,101.306175231934,1,2012_12_14 12:57:43,0.339, Sim-StriHandler-NA, PASS, Bin1
PID-47,1,1,-3,-40,1,9.611,12,,,3.29999995231628,0,2602.87719726563,-6.11226219177246,9.62662220001221,-69.3219757080078,-101.700469970703,-122.594062805176,-140.808074951172,-149.866989135742,-155.973937988281,59.351001739502,1,2012_12_14 12:57:53,0.325, Sim-StriHandler-NA, PASS, Bin1
PID-48,1,1,-21,-40,1,9.618,12,,,3.29999995231628,0,2605.3818359375,-6.31344741821289,9.46024131774902,-76.6869659423828,-105.43677520752,-125.838417053223,-143.330261230469,-152.531585693359,-154.282577514648,42.9047775268555,1,2012_12_14 12:58:03,0.332, Sim-StriHandler-NA, PASS, Bin1
PID-49,1,1,-27,-39,1,9.679,12,,,3.29999995231628,0,2604.4912109375,-6.25404972076416,9.40501594543457,-79.444450378418,-105.875907897949,-126.568092346191,-145.617706298828,-155.155136108398,-155.693542480469,37.2082672119141,1,2012_12_14 12:58:13,0.352, Sim-StriHandler-NA, PASS, Bin1
PID-50,1,1,-21,-39,1,9.629,12,,,3.29999995231628,0,2605.28881835938,-6.28808969497681,9.56318950653076,-74.4812240600586,-98.5635299682617,-118.757431030273,-137.072402954102,-147.6484375,-155.06494140625,91.5712661743164,1,2012_12_14 12:58:23,0.29, Sim-StriHandler-NA, PASS, Bin1
PID-51,1,1,-9,-39,1,9.611,12,,,3.29999995231628,0,2604.53002929688,-6.07538217544556,9.59460830688477,-72.2301483154297,-103.881805419922,-125.292419433594,-142.509811401367,-152.492874145508,-157.965972900391,44.2595520019531,1,2012_12_14 12:58:34,0.33, Sim-StriHandler-NA, PASS, Bin1
PID-52,1,1,-3,-39,1,9.615,12,,,3.29999995231628,0,2603.4560546875,-6.03459352493286,9.60837459564209,-74.5394287109375,-104.394607543945,-125.469924926758,-142.938385009766,-152.548095703125,-155.247695922852,42.190113067627,1,2012_12_14 12:58:44,0.298, Sim-StriHandler-NA, PASS, Bin1
PID-53,1,1,9,-39,1,9.603,12,,,3.29999995231628,0,2606.77954101563,-6.16223711013794,9.68260383605957,-74.2857437133789,-101.806533813477,-122.38550567627,-140.335006713867,-150.933242797852,-157.296173095703,61.4647941589355,1,2012_12_14 12:58:54,0.335, Sim-StriHandler-NA, PASS, Bin1
PID-54,1,1,15,-39,1,9.676,12,,,3.29999995231628,0,2604.78295898438,-6.27625078201294,9.5431079864502,-71.1451034545898,-96.6681900024414,-117.262832641602,-135.368347167969,-146.502624511719,-153.838912963867,108.755096435547,1,2012_12_14 12:59:04,0.254, Sim-StriHandler-NA, PASS, Bin1
PID-55,1,1,27,-39,1,9.619,12,,,3.29999995231628,0,2603.83618164063,-6.34171575546265,9.39313888549805,-76.2872009277344,-106.322265625,-128.85009765625,-147.566833496094,-154.951400756836,-155.288024902344,31.4646644592285,1,2012_12_14 12:59:14,0.32, Sim-StriHandler-NA, PASS, Bin1
PID-56,1,1,33,-39,1,9.613,12,,,3.29999995231628,0,2603.5517578125,-6.76507658004761,9.39524555206299,-80.0907516479492,-106.606971740723,-128.433807373047,-145.742385864258,-153.787246704102,-156.0859375,32.3394622802734,1,2012_12_14 12:59:24,0.292, Sim-StriHandler-NA, PASS, Bin1
PID-57,1,1,33,-38,1,9.693,12,,,3.29999995231628,0,2595.3818359375,-6.39700025558472,9.3488187789917,-75.6964492797852,-99.7035140991211,-119.81861114502,-138.213714599609,-147.633270263672,-153.950744628906,81.7921981811523,1,2012_12_14 12:59:34,0.228, Sim-StriHandler-NA, PASS, Bin1
PID-58,1,1,31,-38,1,9.668,12,,,3.29999995231628,0,2609.81396484375,-6.92666286468506,9.34865570068359,-80.8422927856445,-108.182220458984,-128.763412475586,-146.336151123047,-154.912261962891,-154.001708984375,28.8232879638672,1,2012_12_14 12:59:44,0.236, Sim-StriHandler-NA, PASS, Bin1
PID-59,1,1,15,-38,1,9.696,12,,,3.29999995231628,0,2595.6689453125,-5.84276908874512,9.55142211914063,-75.406379699707,-99.7980880737305,-120.771461486816,-138.685928344727,-147.878997802734,-154.464965820313,74.7820129394531,1,2012_12_14 12:59:54,0.341, Sim-StriHandler-NA, PASS, Bin1
PID-60,1,1,13,-38,1,9.678,12,,,3.29999995231628,0,2604.59887695313,-7.4039949798584,9.71699237823486,-73.3819427490234,-100.549835205078,-120.625122070313,-138.717208862305,-149.963241577148,-155.226226806641,73.4912261962891,1,2012_12_14 13:00:04,0.241, Sim-StriHandler-NA, PASS, Bin1
PID-61,1,1,-3,-38,1,9.616,12,,,3.29999995231628,0,2595.80590820313,-5.69460815429688,9.64530086517334,-72.404296875,-104.679443359375,-125.782493591309,-142.665084838867,-152.895095825195,-155.106262207031,42.7654838562012,1,2012_12_14 13:00:14,0.333, Sim-StriHandler-NA, PASS, Bin1
PID-62,1,1,-5,-38,1,9.648,12,,,3.29999995231628,0,2607.88720703125,-6.71906084060669,9.6732120513916,-73.8969192504883,-105.640129089355,-127.160316467285,-144.004898071289,-154.056121826172,-156.145401000977,37.0452919006348,1,2012_12_14 13:00:24,0.273, Sim-StriHandler-NA, PASS, Bin1
PID-63,1,1,-21,-38,1,9.619,12,,,3.29999995231628,0,2597.72705078125,-5.94770092010498,9.4629955291748,-72.1819152832031,-94.6193084716797,-114.97078704834,-132.982803344727,-143.795501708984,-151.767990112305,142.271026611328,1,2012_12_14 13:00:35,0.321, Sim-StriHandler-NA, PASS, Bin1
PID-64,1,1,-23,-38,1,9.645,12,,,3.29999995231628,0,2610.62622070313,-6.86081165313721,9.53409290313721,-75.7518081665039,-109.0244140625,-129.626190185547,-146.440093994141,-153.728302001953,-155.301742553711,27.0488586425781,1,2012_12_14 13:00:45,0.277, Sim-StriHandler-NA, PASS, Bin1
PID-65,1,1,-25,-36,1,9.646,12,,,3.29999995231628,0,2605.70629882813,-6.11575645446777,9.51973247528076,-78.1511383056641,-103.146713256836,-123.797752380371,-141.772888183594,-152.140380859375,-154.820907592773,52.6621170043945,1,2012_12_14 13:00:55,0.268, Sim-StriHandler-NA, PASS, Bin1
PID-66,1,1,-19,-36,1,9.655,12,,,3.29999995231628,0,2605.89965820313,-6.19106382369995,9.45673370361328,-72.6775817871094,-100.16276550293,-120.571853637695,-138.367462158203,-149.045028686523,-155.430786132813,75.1276168823242,1,2012_12_14 13:01:05,0.262, Sim-StriHandler-NA, PASS, Bin1
PID-67,1,1,-7,-36,1,9.612,12,,,3.29999995231628,0,2604.91870117188,-6.1195916557312,9.63207340240479,-73.4058227539063,-100.372581481934,-121.148406982422,-139.573837280273,-149.930816650391,-154.30583190918,69.6695556640625,1,2012_12_14 13:01:15,0.327, Sim-StriHandler-NA, PASS, Bin1
PID-68,1,1,-1,-36,1,9.662,12,,,3.29999995231628,0,2606.42065429688,-5.91237873077393,9.60529804229736,-71.3871307373047,-104.775238037109,-124.396324157715,-143.058120727539,-151.942810058594,-155.660095214844,45.453971862793,1,2012_12_14 13:01:25,0.254, Sim-StriHandler-NA, PASS, Bin1
PID-69,1,1,11,-36,1,9.61,12,,,3.29999995231628,0,2605.57153320313,-6.21653121948242,9.69388675689697,-73.7976531982422,-97.4384384155273,-118.155754089355,-136.151641845703,-146.695495605469,-153.150939941406,98.0645904541016,1,2012_12_14 13:01:35,0.329, Sim-StriHandler-NA, PASS, Bin1
PID-70,1,1,17,-36,1,9.663,12,,,3.29999995231628,0,2604.74291992188,-6.15735095977783,9.55001831054688,-71.398551940918,-96.8743438720703,-116.998336791992,-135.061218261719,-146.066986083984,-154.969833374023,111.73860168457,1,2012_12_14 13:01:45,0.255, Sim-StriHandler-NA, PASS, Bin1
PID-71,1,1,29,-36,1,9.604,12,,,3.29999995231628,0,2603.79077148438,-6.39892333984375,9.29963970184326,-77.4138259887695,-105.966415405273,-127.474349975586,-144.978118896484,-152.94010925293,-156.715621948242,34.6588706970215,1,2012_12_14 13:01:55,0.329, Sim-StriHandler-NA, PASS, Bin1
PID-72,1,1,35,-36,1,9.665,12,,,3.29999995231628,0,2606.41821289063,-7.09902519226074,9.25823211669922,-74.2347259521484,-97.087532043457,-117.840553283691,-136.053131103516,-146.602767944336,-153.316040039063,101.915367126465,1,2012_12_14 13:02:05,0.254, Sim-StriHandler-NA, PASS, Bin1
